rms,kurtosis,crest_factor,env_amp_bpfo,env_amp_bpfi,env_amp_bsf,baseline_noise,label
0.07408178260912789,-0.13040061392983615,3.6833471531947435,0.00040167778513459815,0.0001367516516777344,0.0002598506084081305,0.00010694271615246309,Normal
0.07379132071238467,-0.11772615436604861,3.6978457688876474,0.0002556077249024855,0.00017508253506744753,0.00024329479563654622,0.00011294164575260283,Normal
0.07386704735701471,-0.13173698197338135,3.3749201238610294,0.00029003406738549936,0.00015695780561151432,0.0003688112842773256,0.00011142946314413464,Normal
0.07292977398015892,-0.17647560561041864,3.4182936681417284,0.0003266829549512631,0.00016449675983211244,0.00034731029953181085,0.00011244246738941099,Normal
0.07272719858092241,-0.18763575551665346,3.4278150331611843,0.0002885857654440885,0.00018531561336425253,0.0003343056579775069,0.00011434130994503289,Normal
0.07276237214851185,-0.19801446595842487,3.426158016214199,0.00023762021794833125,0.00016969068569053314,0.00023494772382190584,0.00011212998298116692,Normal
0.072872780719703,-0.20328510667957111,3.4066534203927583,0.00019856554160098554,0.00010184405171619828,0.0001904579976952802,0.00011700848734440369,Normal
0.07255032025448252,-0.23872776809343588,3.4217947876938477,0.00014508526507303618,0.00012078704517606027,0.00018345235403525157,0.0001145000309042456,Normal
0.07294338652075272,-0.2310567544926525,3.4033559385356864,0.00019619539161120074,0.00013314915484519913,0.00018981375405652053,0.00010832695310312653,Normal
0.0730767558460059,-0.24409739744045877,3.3971446162093994,0.00021145187452029503,0.0001541311999258963,0.00018550122764501127,0.00011100387531166654,Normal
0.07333700625986242,-0.26899751186204846,3.3850891978416766,0.0003574273934972004,0.00018164853114876786,0.00018663357127028847,0.00010814085310574848,Normal
0.0735033097988573,-0.2885160288337154,3.377430327581889,0.00035025197532435664,0.0001689399703194775,0.00016301870428626653,0.00010681095796632427,Normal
0.07354701677960791,-0.28901800914667053,3.375423213102229,0.0002918856009550041,0.00016145884676533354,0.00026175844704170786,0.00010963075250782163,Normal
0.07379181314945268,-0.3017835228412604,3.364225611173358,0.00033605566520317003,0.0001724061163837317,0.00018757406491664967,0.00010788977562492946,Normal
0.07410789944441501,-0.2974184389003458,3.3498764578870643,0.0003711776672184156,0.00014081176878085545,0.0003349719502751455,0.00010641964330446239,Normal
0.07398561808805625,-0.2510968392437145,3.8742332073294032,0.00030618746195774487,0.0001809065944889203,0.0002909130035762048,0.00010782408257856422,Normal
0.07339292447092491,-0.253129714643046,3.9055200556164213,0.00027002340542418753,0.00016498913176600996,0.0003632027246617447,0.00010337979005287417,Normal
